id;tanggal;keterangan;jumlah;bank;cabang;allocate;remark;checked_by;checked_time;checker_status;checker_remark
1;2012-07-09;SETORAN KLIRING #WARKAT L:01 I:00 KL;23600000.00;BCA;8115;1;pembayaran ss jaya DN 25641;demo;09/27/12 03:48 AM;0;
2;2012-07-09;SETORAN KLIRING #WARKAT L:01 I:00 KL;20000000.00;BCA;8115;1;pembayaran PL. karunia Jaya 7332;08/11/12;0000-00-00 00:00:00;0;
3;2012-07-09;SETORAN KLIRING #WARKAT L:00 I:01 KLG-SUBUR 7427;19750000.00;BCA;8285;1;pembayaran PL. Subur 7427;08/11/12;0000-00-00 00:00:00;0;
4;2012-07-09;SETORAN KLIRING #WARKAT L:00 I:01 KLG- MANDIRI  JAYA 7391 ;19875000.00;BCA;8285;1;pembayaran Mandiri jaya 7391;08/11/12;0000-00-00 00:00:00;0;
5;2012-07-09;SETORAN KLIRING #WARKAT L:00 I:01 KLG-MANDIRI  JAYA 7365 ;19875000.00;BCA;8285;1;pembayaran Mandiri jaya 7365;08/11/12;0000-00-00 00:00:00;0;
6;2012-07-09;SETORAN KLIRING #WARKAT L:00 I:01 KLG-HARAPAN JA-  YA 7500 ;10000000.00;BCA;8285;1;pembayaran PL. harapan jaya 7500;08/11/12;0000-00-00 00:00:00;0;
7;2012-07-09;TRSF E-BANKING CR 0707/FTSCY/WS95011 100000000.00  Tetap Jaya DO 3000 sak semen  RAMAWATY;100000000.00;BCA;0;1;pembelian DO PL. Tetap jaya SO02757,02873,02977,02636,02635;08/11/12;0000-00-00 00:00:00;0;
8;2012-07-09;TRSF E-BANKING CR 0707/FTSCY/WS95011 17000000.00  Tetap Jaya DO 3000 sak semen  RAMAWATY;17000000.00;BCA;0;1;pembelian DO PL. Tetap jaya SO02979;08/11/12;0000-00-00 00:00:00;0;
9;2012-07-09;SETORAN TUNAI PL.USAHA ADEK SEMEN PANTARA 5  00 SAK PL.USAHA ADEK ;20750000.00;BCA;8235;1;pembayaran PL. Usaha adek 7250;08/14/12;0000-00-00 00:00:00;0;
10;2012-07-09;SETORAN TUNAI RITONGA SEMEN 500 ZAK A  FD3/RITONGA ;21250000.00;BCA;8430;1;pembayaran Pl. Karya andalan SO02655;08/11/12;0000-00-00 00:00:00;0;
11;2012-07-09;SETORAN TUNAI RITONGA SEMEN 500 ZAK A  FD5/RITONGA ;21250000.00;BCA;8430;1;pembayaran Pl. Karya andalan sejahtera 01839;08/14/12;0000-00-00 00:00:00;0;
